iter	Passed	Remaining
0	141	14050
1	142	6966
2	142	4600
3	142	3417
4	142	2710
5	142	2238
6	142	1898
7	142	1644
8	143	1446
9	143	1288
10	143	1159
11	143	1051
12	143	959
13	143	881
14	143	814
15	143	754
16	143	702
17	143	655
18	143	613
19	143	575
20	144	541
21	144	510
22	144	482
23	144	456
24	144	432
25	144	410
26	144	390
27	144	371
28	144	353
29	144	337
30	144	322
31	144	308
32	145	294
33	145	282
34	145	271
35	146	259
36	146	249
37	146	239
38	146	229
39	146	220
40	146	211
41	146	202
42	146	194
43	147	187
44	147	179
45	147	172
46	147	166
47	147	159
48	147	153
49	148	148
50	148	142
51	149	137
52	149	132
53	149	127
54	149	122
55	149	117
56	150	113
57	150	108
58	150	104
59	150	100
60	150	96
61	150	92
62	150	88
63	151	84
64	151	81
65	151	78
66	151	74
67	151	71
68	152	68
69	152	65
70	153	62
71	153	59
72	153	56
73	153	54
74	154	51
75	154	48
76	154	46
77	154	43
78	155	41
79	155	38
80	155	36
81	155	34
82	156	31
83	156	29
84	156	27
85	157	25
86	157	23
87	157	21
88	158	19
89	158	17
90	158	15
91	158	13
92	158	11
93	159	10
94	159	8
95	159	6
96	160	4
97	160	3
98	160	1
99	160	0
